支付流水号,订单号,支付日期,实收金额,平台手续费,支付渠道
PAY20250101001,YW20250101001,2025-01-01,"¥1,190",¥20,支付宝
PAY20250101002,YW20250101002,2025/1/1,¥340.5,¥18,微信
PAY20250101003,YW20250101003,20250102,¥95,¥3,支付宝
PAY20250101004,YW20250101004,2025-01-02,"¥1,990",¥25,银行卡
PAY20250101006,YW20250101006,2025-01-03,¥250,¥18,微信
PAY20250101007,YW20250101007,2025-01-03,¥180,¥6,支付宝
PAY20250101008,YW20250101008,2025-01-03,¥415,¥15,微信
PAY20250101009,YW20250101009,2025-01-04,¥148,¥8,支付宝
PAY20250101010,YW20250101010,2025-01-04,¥950,¥30,银行卡
PAY20250101011,YW20250101011,2025-01-05,¥80,¥2,支付宝
PAY20250101012,YW20250101012,2025-01-05,¥315,¥3,微信
